"Supplementary Dataset S1. Proteins that were identified in total cell extract and included in further differential expression analysis. For each protein the fold change and p-values (unadjusted-adjusted for FDR) are provided, along with the expression trend at the mRNA level. Differentially expressed proteins (as defined by fold change >1.5, p<0.05)  are marked in blue.",,,,,,,,,,,,,,,,,,,,,,
Accession,UniprotID,Protein Name,Prediction of signal peptide (SignalIP),Transcriptomics: Ratio (T24M vs T24),Proteomics:,Avg. T24,SD. T24,Avg. T24M,SD. T24M,Fold Change        (Avg. T24M/ Avg. T24),p-value (unadjusted),p-value                    (FDR- BH adjusted),Area T24_T1 normalized,Area T24_T2 normalized,Area T24_T3 normalized,Area T24_T4 normalized,Area T24_T5 normalized,Area T24M_T6 normalized,Area T24M_T7 normalized,Area T24M_T8 normalized,Area T24M_T9 normalized,Area T24M_T10 normalized
P08582,TRFM_HUMAN,Melanotransferrin ,Predicted,2.17,,0.00,0.00,109.41,12.04,Only T24M,0.005,0.039,0.00,0.00,0.00,0.00,0.00,129.15,110.08,104.86,96.80,106.18
P09914,IFIT1_HUMAN,Interferon-induced protein with tetratricopeptide repeats 1 ,Not predicted,11.16,,0.00,0.00,152.26,51.43,Only T24M,0.005,0.039,0.00,0.00,0.00,0.00,0.00,134.74,112.97,240.21,120.73,152.66
P19971,TYPH_HUMAN,Thymidine phosphorylase ,Not predicted,6.35,,0.00,0.00,133.98,22.42,Only T24M,0.005,0.039,0.00,0.00,0.00,0.00,0.00,141.99,101.41,154.50,151.10,120.91
P20592,MX2_HUMAN,Interferon-induced GTP-binding protein Mx2 ,Not predicted,2.71,,0.00,0.00,904.38,177.70,Only T24M,0.005,0.039,0.00,0.00,0.00,0.00,0.00,945.68,790.02,"1,176.15",710.35,899.68
P29728,OAS2_HUMAN,2'-5'-oligoadenylate synthase 2 ,Not predicted,2.01,,0.00,0.00,160.97,81.88,Only T24M,0.005,0.039,0.00,0.00,0.00,0.00,0.00,200.94,102.82,277.77,70.85,152.46
P32455,GBP1_HUMAN,Interferon-induced guanylate-binding protein 1 ,Not predicted,1.77,,0.00,0.00,129.59,21.27,Only T24M,0.005,0.039,0.00,0.00,0.00,0.00,0.00,128.27,128.19,95.91,149.96,145.60
Q04695,K1C17_HUMAN,"Keratin, type I cytoskeletal 17 ",Not predicted,91.72,,0.00,0.00,797.32,102.43,Only T24M,0.005,0.039,0.00,0.00,0.00,0.00,0.00,642.16,827.37,829.71,919.98,767.37
Q05519,SRS11_HUMAN,Serine/arginine-rich splicing factor 11 ,Not predicted,1.53,,0.00,0.00,87.84,4.05,Only T24M,0.005,0.039,0.00,0.00,0.00,0.00,0.00,84.91,86.12,94.98,86.44,86.78
Q16666,IF16_HUMAN,Gamma-interferon-inducible protein 16 ,Not predicted,1.50,,0.00,0.00,175.23,17.22,Only T24M,0.005,0.039,0.00,0.00,0.00,0.00,0.00,152.25,164.14,192.94,190.06,176.75
O14879,IFIT3_HUMAN,Interferon-induced protein with tetratricopeptide repeats 3 ,Not predicted,3.64,,0.00,0.00,103.51,66.16,Only T24M,0.019,0.064,0.00,0.00,0.00,0.00,0.00,118.33,113.82,183.92,0.00,101.50
O95786,DDX58_HUMAN,Probable ATP-dependent RNA helicase DDX58 ,Not predicted,1.70,,0.00,0.00,50.06,30.28,Only T24M,0.019,0.064,0.00,0.00,0.00,0.00,0.00,70.97,69.73,42.70,0.00,66.92
P49207,RL34_HUMAN,60S ribosomal protein L34 ,Not predicted,2.18,,0.00,0.00,105.47,59.57,Only T24M,0.019,0.064,0.00,0.00,0.00,0.00,0.00,132.93,137.85,0.00,138.91,117.65
Q00653,NFKB2_HUMAN,Nuclear factor NF-kappa-B p100 subunit ,Not predicted,1.54,,0.00,0.00,61.92,37.48,Only T24M,0.019,0.064,0.00,0.00,0.00,0.00,0.00,54.33,82.10,93.79,0.00,79.38
Q13641,TPBG_HUMAN,Trophoblast glycoprotein ,Predicted,2.43,,0.00,0.00,61.72,34.91,Only T24M,0.019,0.064,0.00,0.00,0.00,0.00,0.00,75.30,85.84,71.53,0.00,75.92
